PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1975932,46,M,B,Crawford-Roberts,6,3
1975933,36,F,W,Greenfield,5,3
1975934,27,F,B,Golden Triangle/Civic Arena,6,6
1975935,40,M,O,South Oakland,3,3
1975936,29,F,B,Spring Hill-City View,1,1
1975937,23,F,B,Allentown,3,5
1975938,19,M,B,Allentown,3,5
1975939,47,M,B,Allentown,3,5
1975940,40,F,O,South Oakland,3,3
1975941,47,M,W,Beechview,2,5
1975942,22,F,W,Central Northside,1,1
1975943,35,M,W,Brookline,4,5
1975944,22,M,W,South Side Flats,3,3
1975955,22,M,B,Lincoln-Lemington-Belmar,9,2
1975956,24,M,W,Carrick,4,3
1975957,29,M,B,Larimer,9,2
1975958,0,F,A,Overbrook,4,5
1975959,69,F,A,Overbrook,4,5
1975960,20,F,W,Homewood North,9,2
1975961,23,M,W,Golden Triangle/Civic Arena,6,6
1975962,29,F,W,Perry South,6,1
1975963,26,F,W,Golden Triangle/Civic Arena,6,6
1975964,43,M,W,Perry South,6,1
1975965,31,F,W,South Side Slopes,3,3
1975966,45,M,W,Golden Triangle/Civic Arena,6,6
1975967,41,M,W,Fineview,6,1
1975968,38,M,W,Fineview,6,1
1975969,42,F,W,Greenfield,5,3
1975970,53,F,B,Shadyside,7,2
1975971,45,M,W,Perry South,6,1
1975972,22,M,B,Homewood South,9,2
1975973,24,M,W,Elliott,2,5
1975974,52,M,W,East Liberty,9,2
1975975,51,M,W,Overbrook,4,5
1975976,41,M,B,Central Northside,6,1
1975977,30,F,B,Allentown,3,3
1975978,31,M,B,Allentown,3,3
1975979,19,M,B,Manchester,6,1
1975980,41,F,B,East Liberty,9,2
1975981,,F,B,East Hills,9,2
1975982,50,M,W,Brighton Heights,1,1
1975983,30,F,B,Fineview,6,1
1975984,34,F,W,,,
1975985,29,M,B,,,
1975986,28,F,B,East Hills,9,2
1975987,29,M,B,Esplen,2,5
1975988,33,M,W,South Side Flats,3,3
1975989,23,M,W,Mount Washington,2,5
1975990,26,M,W,Mount Washington,2,5
1975991,24,F,B,Northview Heights,1,1
1975992,43,M,B,Golden Triangle/Civic Arena,6,3
1975993,18,M,B,Northview Heights,1,1
1975994,19,M,B,Central Lawrenceville,7,2
1975995,21,F,B,South Side Flats,3,3
1975996,22,F,W,South Shore,3,5
1975997,33,M,W,South Side Flats,3,3
1975998,43,M,B,Highland Park,9,2
1975999,35,M,W,,,
1976000,37,M,W,Brookline,4,5
1976001,19,M,B,Perry South,6,1
1976002,24,M,O,South Side Flats,3,3
1976003,27,M,W,South Side Flats,3,3
1976004,26,M,W,South Side Flats,3,3
1976005,22,M,B,Outside County,,
1976006,27,M,W,Lincoln-Lemington-Belmar,9,2
1976007,24,F,B,Knoxville,3,5
1976008,33,M,B,Bloomfield,7,2
1976009,20,F,B,South Side Flats,3,3
1976010,26,M,B,South Side Flats,3,3
1976011,28,F,W,Troy Hill,1,1
1976012,15,M,B,Outside City,,
1976013,16,M,B,Marshall-Shadeland,6,1
1976015,45,F,W,East Liberty,9,2
1976016,22,M,B,Crafton Heights,2,5
1976017,26,F,W,East Allegheny,1,1
1976018,52,F,W,Knoxville,3,5
1976019,57,M,W,Knoxville,3,5
1976020,36,M,W,Sheraden,2,5
1976021,39,M,W,Lincoln-Lemington-Belmar,,
1976022,30,F,W,East Allegheny,1,1
1976023,34,M,W,East Allegheny,1,1
1976024,26,F,W,Brighton Heights,1,1
1976025,63,F,B,East Liberty,8,2
1976026,42,M,B,Troy Hill,1,1
1976027,36,F,W,Troy Hill,1,1
1976028,13,M,B,Upper Hill,6,3
1976029,22,M,W,South Side Flats,3,3
1976030,30,F,B,Allentown,3,5
1976031,25,F,B,Allentown,3,5
1976032,30,F,B,Allentown,3,5
1976033,21,M,B,South Side Flats,3,3
1976034,31,M,W,Greenfield,5,3
1976035,46,M,B,Central Business District,6,6
1976036,31,M,B,Central Business District,6,6
1976037,24,M,W,South Side Flats,3,3
1976038,16,M,B,Squirrel Hill South,5,3
1976039,16,M,B,Squirrel Hill South,5,3
1976040,16,M,B,,,
1976041,10,M,W,Lincoln Place,5,3
1976042,14,M,B,Brighton Heights,1,1
1976043,12,M,B,Sheraden,2,5
1976044,32,M,B,North Shore,1,6
1976045,29,M,B,Crawford-Roberts,6,3
1976046,18,M,B,Northview Heights,1,1
1976047,57,M,B,Shadyside,8,2
1976048,24,M,W,Beltzhoover,3,5
1976049,24,M,B,Hazelwood,5,3
1976050,53,M,W,Shadyside,8,2
1976051,37,M,B,Homewood South,9,2
1976052,54,M,B,Point Breeze,8,3
1976053,20,F,B,Central North Side,1,1
1976055,11,M,B,Brookline,4,5
1976056,14,M,B,Mount Oliver,3,3
1976057,12,M,B,Mount Oliver,3,3
1976058,17,M,B,Carrick,4,3
1976059,20,M,B,Carrick,4,3
1976060,17,F,B,Carrick,4,3
1976061,15,F,B,East Liberty,,
1976062,15,M,B,Perry South,6,1
1976063,13,M,B,Sheraden,2,5
1976064,16,M,B,Knoxville,,
1976065,13,M,B,East Liberty,9,2
1976066,14,M,B,Crafton Heights,2,5
1976067,18,M,B,East Allegheny,1,1
1976068,19,M,B,East Allegheny,1,1
1976069,17,M,B,East Allegheny,1,1
1976070,16,M,B,East Allegheny,1,1
1976075,18,M,W,Lincoln Place,5,3
1976076,52,M,B,Hazelwood,5,3
1976077,22,M,W,South Side Flats,3,3
1976078,24,M,B,South Side Slopes,3,3
1976079,51,M,B,Elliott,2,5
1976080,35,M,W,Central Lawrenceville,7,2
1976081,34,M,W,Central Lawrenceville,7,2
1976082,35,F,B,Glen Hazel,5,3
1976083,16,M,B,Central Business District,6,6
1976084,51,M,B,Central North Side,6,1
1976085,48,F,W,Central Business District,6,6
1976086,26,F,W,Central Business District,6,6
1976087,35,M,W,Carrick,4,3
1976088,38,M,B,Central North Side,1,1
1976089,25,M,B,Allegheny Center,1,1
1976090,23,M,W,South Side Flats,3,3
1976091,20,M,W,South Side Flats,3,3
1976092,32,M,B,Allegheny Center,1,1
1976093,42,M,B,Homewood North,9,2
1976094,33,F,W,Homewood North,9,2
1976095,57,M,B,Central Business District,6,6
1976096,35,M,B,Lincoln-Lemington-Belmar,9,2
1976097,28,M,W,North Shore,1,6
1976098,27,M,W,North Shore,1,6
1976099,28,M,W,Hazelwood,5,3
1976100,26,M,W,Spring Hill-City View,1,1
1976101,32,F,B,Knoxville,3,5
1976102,24,M,W,South Side Slopes,3,3
1976103,43,M,B,Middle Hill,6,3
1976104,68,M,B,Beltzhoover,3,5
1976105,18,M,U,Knoxville,,
1976106,38,F,W,Perry North,1,1
1976107,28,F,B,Central North Side,6,1
1976108,27,M,B,Windgap,2,5
1976109,31,M,B,Brighton Heights,1,1
1976110,21,M,B,Banksville,2,5
